"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/16/2017","AQS","060070008","7","0.0058","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/19/2017","AQS","060070008","7","0.0006","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/31/2017","AQS","060070008","7","0.0048","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/19/2017","AQS","060070008","7","0.0031","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/24/2017","AQS","060070008","7","0.003","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"03/08/2017","AQS","060070008","7","0.0029","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"03/20/2017","AQS","060070008","7","0.0024","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"05/07/2017","AQS","060070008","7","0.0014","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"05/19/2017","AQS","060070008","7","0.0006","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"05/31/2017","AQS","060070008","7","0.0006","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"06/12/2017","AQS","060070008","7","0.0006","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"06/24/2017","AQS","060070008","7","0.0016","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"07/09/2017","AQS","060070008","7","0.0006","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"07/18/2017","AQS","060070008","7","0.0006","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"07/30/2017","AQS","060070008","7","0.0019","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"08/11/2017","AQS","060070008","7","0.0014","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"08/23/2017","AQS","060070008","7","0.0039","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"09/04/2017","AQS","060070008","7","0.0041","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"09/16/2017","AQS","060070008","7","0.0019","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"09/28/2017","AQS","060070008","7","0.0006","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"10/10/2017","AQS","060070008","7","0.0079","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"10/22/2017","AQS","060070008","7","0.0006","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"11/03/2017","AQS","060070008","7","0.0024","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"11/15/2017","AQS","060070008","7","0.0006","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"11/27/2017","AQS","060070008","7","0.0006","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"12/09/2017","AQS","060070008","7","0.004","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"12/21/2017","AQS","060070008","7","0.0021","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"12/27/2017","AQS","060070008","7","0.003","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/01/2017","AQS","060190011","1","0.004","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/07/2017","AQS","060190011","1","0.002","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/13/2017","AQS","060190011","1","0.001","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/19/2017","AQS","060190011","1","0.001","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/31/2017","AQS","060190011","1","0.008","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/03/2017","AQS","060190011","1","0.001","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/06/2017","AQS","060190011","1","0.001","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/12/2017","AQS","060190011","1","0.002","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/18/2017","AQS","060190011","1","0","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/24/2017","AQS","060190011","1","0.003","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/02/2017","AQS","060190011","1","0.003","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/08/2017","AQS","060190011","1","0.003","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/17/2017","AQS","060190011","1","0.003","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/21/2017","AQS","060190011","1","0.001","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/26/2017","AQS","060190011","1","0.001","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/01/2017","AQS","060190011","1","0.002","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/07/2017","AQS","060190011","1","0.001","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/13/2017","AQS","060190011","1","0.001","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/19/2017","AQS","060190011","1","0.002","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/25/2017","AQS","060190011","1","0.001","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/01/2017","AQS","060190011","1","0.004","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/07/2017","AQS","060190011","1","0.002","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/16/2017","AQS","060190011","1","0.002","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/19/2017","AQS","060190011","1","0.004","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/25/2017","AQS","060190011","1","0.003","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/31/2017","AQS","060190011","1","0.002","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/06/2017","AQS","060190011","1","0.003","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/12/2017","AQS","060190011","1","0.002","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/18/2017","AQS","060190011","1","0.003","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/24/2017","AQS","060190011","1","0.003","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/30/2017","AQS","060190011","1","0.004","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/06/2017","AQS","060190011","1","0.003","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/12/2017","AQS","060190011","1","0.004","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/18/2017","AQS","060190011","1","0.002","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/24/2017","AQS","060190011","1","0.005","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/30/2017","AQS","060190011","1","0.003","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"08/05/2017","AQS","060190011","1","0.003","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"08/11/2017","AQS","060190011","1","0.003","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"08/17/2017","AQS","060190011","1","0.002","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"08/23/2017","AQS","060190011","1","0.004","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"08/29/2017","AQS","060190011","1","0.004","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"09/04/2017","AQS","060190011","1","0.004","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"09/10/2017","AQS","060190011","1","0.003","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"09/16/2017","AQS","060190011","1","0.003","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"09/22/2017","AQS","060190011","1","0.002","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"09/28/2017","AQS","060190011","1","0.002","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"09/30/2017","AQS","060190011","1","0.002","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"10/04/2017","AQS","060190011","1","0.004","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"10/16/2017","AQS","060190011","1","0.006","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"10/19/2017","AQS","060190011","1","0.005","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"10/22/2017","AQS","060190011","1","0.002","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"10/28/2017","AQS","060190011","1","0.006","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"11/03/2017","AQS","060190011","1","0.003","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"11/09/2017","AQS","060190011","1","0.002","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"11/15/2017","AQS","060190011","1","0.006","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"11/21/2017","AQS","060190011","1","0.005","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"12/03/2017","AQS","060190011","1","0.004","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"12/06/2017","AQS","060190011","1","0.004","ug/m3 LC",".","Fresno - Garland","1","100.0000","14129","Lead (TSP) LC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/13/2017","AQS","060190011","7","0.0013","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/19/2017","AQS","060190011","7","0.0016","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/31/2017","AQS","060190011","7","0.0084","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/12/2017","AQS","060190011","7","0.0029","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/24/2017","AQS","060190011","7","0.0035","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/08/2017","AQS","060190011","7","0.0034","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/21/2017","AQS","060190011","7","0.0039","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/07/2017","AQS","060190011","7","0.0014","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/19/2017","AQS","060190011","7","0.0023","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/31/2017","AQS","060190011","7","0.0016","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/12/2017","AQS","060190011","7","0.0006","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/24/2017","AQS","060190011","7","0.0037","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/06/2017","AQS","060190011","7","0.0016","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/18/2017","AQS","060190011","7","0.0006","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/30/2017","AQS","060190011","7","0.0031","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"08/11/2017","AQS","060190011","7","0.0025","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"08/23/2017","AQS","060190011","7","0.005","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"09/04/2017","AQS","060190011","7","0.0049","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"09/16/2017","AQS","060190011","7","0.0018","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"09/28/2017","AQS","060190011","7","0.0029","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"10/28/2017","AQS","060190011","7","0.0069","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"11/03/2017","AQS","060190011","7","0.0057","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"11/15/2017","AQS","060190011","7","0.0064","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"11/27/2017","AQS","060190011","7","0.003","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"12/09/2017","AQS","060190011","7","0.0068","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"12/21/2017","AQS","060190011","7","0.0052","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/07/2017","AQS","060250005","7","0.0109","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/19/2017","AQS","060250005","7","0.0063","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/31/2017","AQS","060250005","7","0.009","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"02/12/2017","AQS","060250005","7","0.0014","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"03/20/2017","AQS","060250005","7","0.024","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"03/23/2017","AQS","060250005","7","0.003","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"03/26/2017","AQS","060250005","7","0.0031","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"05/07/2017","AQS","060250005","7","0.0006","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"05/19/2017","AQS","060250005","7","0.0038","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"05/31/2017","AQS","060250005","7","0.0127","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"06/12/2017","AQS","060250005","7","0.0013","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"06/24/2017","AQS","060250005","7","0.058","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"07/06/2017","AQS","060250005","7","0.0044","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"07/18/2017","AQS","060250005","7","0.0106","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"07/30/2017","AQS","060250005","7","0.091","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"08/14/2017","AQS","060250005","7","0.0105","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"08/23/2017","AQS","060250005","7","0.0072","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"09/04/2017","AQS","060250005","7","0.0056","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"09/16/2017","AQS","060250005","7","0.0037","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"10/01/2017","AQS","060250005","7","0.0095","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
