"indicator","reportyear","FIPS","County_Name","County_FIPS","h20contam_d","h20contam_nr","h20contam_pct","h20contam_se_pct","h20contam_rse","h20contam_pctile","source","version","notes"
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6001400100,"Alameda",6001,NA,NA,70.5995829,NA,NA,97.20261773,"CES_3.0_2017","Wed13Dec17","© 2021 Public Health Alliance of Southern California. All rights reserved. HPI, HEALTHY PLACES INDEX, and the PUBLIC HEALTH ALLIANCE OF SOUTHERN CALIFORNIA names and logos are trademarks or registered trademarks of Public Health Alliance of Southern California, fiscally administered by the Public Health Institute. Other product and company names and logos referenced herein are the trademarks of their respective owners.
Use, reproduction and distribution of HPI and associated materials is for noncommercial purposes only, and should include proper attribution to the Public Health Alliance of Southern California, including copyright and trademark logos. Use of this material does not imply endorsement by the Public Health Alliance of Southern California.
The Public Health Alliance of Southern California does not represent or guarantee the accuracy, completeness, or suitability of the information contained herein, which information is provided “as is” without warranties of any kind, including without limitation, the implied warranties of merchantability, fitness for a particular purpose and non-infringement.  To the extent permitted under applicable law, under no circumstances shall the Public Health Alliance of Southern California, its fiscal administrator the Public Health Institute, or its affiliates be liable for any consequential, incidental, special, or indirect damages resulting from use of this information."
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6001400200,"Alameda",6001,NA,NA,70.5995829,NA,NA,97.20261773,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6001400300,"Alameda",6001,NA,NA,70.5995829,NA,NA,97.20261773,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6001400400,"Alameda",6001,NA,NA,70.5995829,NA,NA,97.20261773,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6001400500,"Alameda",6001,NA,NA,70.5995829,NA,NA,97.20261773,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6001400600,"Alameda",6001,NA,NA,70.5995829,NA,NA,97.20261773,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6001400700,"Alameda",6001,NA,NA,70.5995829,NA,NA,97.20261773,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6001400800,"Alameda",6001,NA,NA,70.5995829,NA,NA,97.20261773,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6001400900,"Alameda",6001,NA,NA,70.5995829,NA,NA,97.20261773,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6001401000,"Alameda",6001,NA,NA,70.5995829,NA,NA,97.20261773,"CES_3.0_2017","Wed13Dec17",""
