"indicator","reportyear","FIPS","County_Name","County_FIPS","parkaccess_n","parkaccess_d","parkaccess_pct","parkaccess_se_pct","parkaccess_rse","parkaccess_pctile","source","version","notes"
"Percentage of the population living within a half-mile of a park, beach, or open space greater than 1 acre",2010,6001400100,"Alameda",6001,2937,2937,100,0,NA,81.35506224,"HCI/CaLANDS Database","Wed13Dec17","© 2021 Public Health Alliance of Southern California. All rights reserved. HPI, HEALTHY PLACES INDEX, and the PUBLIC HEALTH ALLIANCE OF SOUTHERN CALIFORNIA names and logos are trademarks or registered trademarks of Public Health Alliance of Southern California, fiscally administered by the Public Health Institute. Other product and company names and logos referenced herein are the trademarks of their respective owners.
Use, reproduction and distribution of HPI and associated materials is for noncommercial purposes only, and should include proper attribution to the Public Health Alliance of Southern California, including copyright and trademark logos. Use of this material does not imply endorsement by the Public Health Alliance of Southern California.
The Public Health Alliance of Southern California does not represent or guarantee the accuracy, completeness, or suitability of the information contained herein, which information is provided “as is” without warranties of any kind, including without limitation, the implied warranties of merchantability, fitness for a particular purpose and non-infringement.  To the extent permitted under applicable law, under no circumstances shall the Public Health Alliance of Southern California, its fiscal administrator the Public Health Institute, or its affiliates be liable for any consequential, incidental, special, or indirect damages resulting from use of this information."
"Percentage of the population living within a half-mile of a park, beach, or open space greater than 1 acre",2010,6001400200,"Alameda",6001,1812,1974,91.79331,0.61775,7.527395332,50.26305659,"HCI/CaLANDS Database","Wed13Dec17",""
"Percentage of the population living within a half-mile of a park, beach, or open space greater than 1 acre",2010,6001400300,"Alameda",6001,1618,4865,33.25797,0.67547,2.031001892,15.83472347,"HCI/CaLANDS Database","Wed13Dec17",""
"Percentage of the population living within a half-mile of a park, beach, or open space greater than 1 acre",2010,6001400400,"Alameda",6001,3119,3703,84.229,0.59894,3.797730011,42.73065572,"HCI/CaLANDS Database","Wed13Dec17",""
"Percentage of the population living within a half-mile of a park, beach, or open space greater than 1 acre",2010,6001400500,"Alameda",6001,3517,3517,100,0,NA,81.35506224,"HCI/CaLANDS Database","Wed13Dec17",""
"Percentage of the population living within a half-mile of a park, beach, or open space greater than 1 acre",2010,6001400600,"Alameda",6001,1571,1571,100,0,NA,81.35506224,"HCI/CaLANDS Database","Wed13Dec17",""
"Percentage of the population living within a half-mile of a park, beach, or open space greater than 1 acre",2010,6001400700,"Alameda",6001,4206,4206,100,0,NA,81.35506224,"HCI/CaLANDS Database","Wed13Dec17",""
"Percentage of the population living within a half-mile of a park, beach, or open space greater than 1 acre",2010,6001400800,"Alameda",6001,3594,3594,100,0,NA,81.35506224,"HCI/CaLANDS Database","Wed13Dec17",""
"Percentage of the population living within a half-mile of a park, beach, or open space greater than 1 acre",2010,6001400900,"Alameda",6001,2302,2302,100,0,NA,81.35506224,"HCI/CaLANDS Database","Wed13Dec17",""
"Percentage of the population living within a half-mile of a park, beach, or open space greater than 1 acre",2010,6001401000,"Alameda",6001,5596,5678,98.55583,0.15833,10.96339074,59.27114077,"HCI/CaLANDS Database","Wed13Dec17",""
