"indicator","reportyear","FIPS","County_Name","County_FIPS","supermkts_d","supermkts_n","supermkts_pct","supermkts_se_pct","supermkts_rse","supermkts_pctile","source","version","notes"
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001400100,"Alameda",6001,2937,38.745074,1.319205788,0.210533213,15.95908805,13.39663801,"USDA_FARA2017","Wed06Dec17","© 2021 Public Health Alliance of Southern California. All rights reserved. HPI, HEALTHY PLACES INDEX, and the PUBLIC HEALTH ALLIANCE OF SOUTHERN CALIFORNIA names and logos are trademarks or registered trademarks of Public Health Alliance of Southern California, fiscally administered by the Public Health Institute. Other product and company names and logos referenced herein are the trademarks of their respective owners.
Use, reproduction and distribution of HPI and associated materials is for noncommercial purposes only, and should include proper attribution to the Public Health Alliance of Southern California, including copyright and trademark logos. Use of this material does not imply endorsement by the Public Health Alliance of Southern California.
The Public Health Alliance of Southern California does not represent or guarantee the accuracy, completeness, or suitability of the information contained herein, which information is provided “as is” without warranties of any kind, including without limitation, the implied warranties of merchantability, fitness for a particular purpose and non-infringement.  To the extent permitted under applicable law, under no circumstances shall the Public Health Alliance of Southern California, its fiscal administrator the Public Health Institute, or its affiliates be liable for any consequential, incidental, special, or indirect damages resulting from use of this information."
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001400200,"Alameda",6001,1974,1974,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001400300,"Alameda",6001,4865,4512.052878,92.74517736,0.371892693,5.126144518,80.35416399,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001400400,"Alameda",6001,3703,3623.180572,97.84446589,0.238654005,11.0716877,84.58873348,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001400500,"Alameda",6001,3517,2627.996081,74.72266366,0.732834053,2.899174357,68.09957654,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001400600,"Alameda",6001,1571,0,0,0,NA,2.399589375,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001400700,"Alameda",6001,4206,104.116803,2.475435164,0.239578673,9.678244701,14.94931349,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001400800,"Alameda",6001,3594,761.859375,21.19809057,0.681754017,3.216110503,29.50083408,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001400900,"Alameda",6001,2302,285.772164,12.41408184,0.687261137,5.536141499,22.89233928,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001401000,"Alameda",6001,5678,3795.070928,66.83816358,0.624789679,1.884062363,62.74862056,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001401100,"Alameda",6001,4156,3854.591306,92.74762527,0.402303442,5.547196008,80.36699602,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001401200,"Alameda",6001,2416,2416,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001401300,"Alameda",6001,3528,3528,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001401400,"Alameda",6001,4314,4314,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001401500,"Alameda",6001,2630,2630,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001401600,"Alameda",6001,2163,2161.677725,99.93886847,0.053146121,86.93733702,87.79674066,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001401700,"Alameda",6001,2667,1019.243111,38.21683956,0.94091618,2.462046028,42.17887848,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001401800,"Alameda",6001,1703,0,0,0,NA,2.399589375,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001402200,"Alameda",6001,2385,0,0,0,NA,2.399589375,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001402400,"Alameda",6001,2351,2152.681414,91.56450082,0.573182134,6.794881039,79.52008212,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001402500,"Alameda",6001,1784,32.856976,1.841758744,0.318333489,17.28421217,14.21788785,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001402700,"Alameda",6001,1569,1569,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001402800,"Alameda",6001,3345,3345,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001403000,"Alameda",6001,2788,2788,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001403100,"Alameda",6001,2238,2238,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001403300,"Alameda",6001,4054,4054,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001403400,"Alameda",6001,4146,4146,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001403501,"Alameda",6001,4374,4374,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001403502,"Alameda",6001,1991,1991,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001403600,"Alameda",6001,4482,4482,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001403701,"Alameda",6001,2587,2587,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001403702,"Alameda",6001,1724,1724,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001403800,"Alameda",6001,3461,2913.984258,84.19486443,0.620070563,3.923222043,74.54125497,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001403900,"Alameda",6001,3584,3584,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001404000,"Alameda",6001,2819,2819,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001404101,"Alameda",6001,2929,2911.450619,99.40084052,0.142595743,23.79929671,86.57769793,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001404102,"Alameda",6001,2283,2283,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001404200,"Alameda",6001,3483,315.638666,9.062264312,0.486422542,5.36756075,20.26177339,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001404300,"Alameda",6001,3218,1119.840307,34.79926374,0.839688601,2.412949331,39.61247273,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001404400,"Alameda",6001,5314,319.267515,6.00804507,0.325987657,5.425852398,18.09316053,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001404501,"Alameda",6001,1677,1322.332829,78.85109295,0.997197754,4.715126657,70.84563069,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001404502,"Alameda",6001,5784,2313.68029,40.00138814,0.644160352,1.610344995,43.30809701,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001404600,"Alameda",6001,4353,203.586551,4.676925132,0.32002573,6.842652404,17.04093417,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001404700,"Alameda",6001,1954,34.995632,1.790974002,0.300025427,16.75208166,14.12806365,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001404800,"Alameda",6001,2684,1847.673984,68.84031237,0.893977746,2.869020245,64.00615937,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001404900,"Alameda",6001,4129,3324.155333,80.50751594,0.616494726,3.162730436,71.83369691,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001405000,"Alameda",6001,3136,302.091411,9.633016932,0.526863396,5.469349834,20.81355062,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001405100,"Alameda",6001,4197,888.989387,21.18154365,0.630700654,2.977595328,29.48800205,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001405200,"Alameda",6001,4597,4576.121318,99.5458194,0.099171881,21.83534055,86.82150648,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001405301,"Alameda",6001,2603,2603,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001405302,"Alameda",6001,2530,2530,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001405401,"Alameda",6001,3957,3957,100,0,NA,94.25125112,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001405402,"Alameda",6001,3114,2990.38855,96.03046082,0.349876883,8.814042812,83.15154626,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001405500,"Alameda",6001,3643,1249.037643,34.2859633,0.786425642,2.293724796,39.3301681,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001405600,"Alameda",6001,3137,42.342125,1.349764903,0.206025449,15.26380248,13.46079815,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001405700,"Alameda",6001,3243,828.949439,25.56119146,0.765978851,2.996647682,32.82432953,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001405800,"Alameda",6001,3965,524.358309,13.22467362,0.537983571,4.068029099,23.4826126,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001405901,"Alameda",6001,3910,351.773535,8.996765601,0.457597073,5.086239807,20.19761324,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001405902,"Alameda",6001,3035,1317.843399,43.4215288,0.89970226,2.072018847,45.98999102,"USDA_FARA2017","Wed06Dec17",""
"Percentage of the urban population residing less than 1/2 mile from a supermarket/large grocery store, or the percent of the rural population living less than 1 miles from a supermarket/large grocery store",2015,6001406000,"Alameda",6001,3450,3323.958654,96.34662764,0.319415275,8.743025444,83.36969075,"USDA_FARA2017","Wed06Dec17",""
