"indicator","reportyear","FIPS","County_Name","County_FIPS","treecanopy_n","treecanopy_d","treecanopy_pct","treecanopy_se_pct","treecanopy_rse","treecanopy_pctile","source","version","notes"
"Population-weighted percentage of the census tract area with tree canopy",2011,6001400100,"Alameda",6001,NA,NA,36.4337983,3.8923944,10.6834714,97.42076222,"HCI/National Land Cover Database","Wed06Dec17","© 2021 Public Health Alliance of Southern California. All rights reserved. HPI, HEALTHY PLACES INDEX, and the PUBLIC HEALTH ALLIANCE OF SOUTHERN CALIFORNIA names and logos are trademarks or registered trademarks of Public Health Alliance of Southern California, fiscally administered by the Public Health Institute. Other product and company names and logos referenced herein are the trademarks of their respective owners.
Use, reproduction and distribution of HPI and associated materials is for noncommercial purposes only, and should include proper attribution to the Public Health Alliance of Southern California, including copyright and trademark logos. Use of this material does not imply endorsement by the Public Health Alliance of Southern California.
The Public Health Alliance of Southern California does not represent or guarantee the accuracy, completeness, or suitability of the information contained herein, which information is provided “as is” without warranties of any kind, including without limitation, the implied warranties of merchantability, fitness for a particular purpose and non-infringement.  To the extent permitted under applicable law, under no circumstances shall the Public Health Alliance of Southern California, its fiscal administrator the Public Health Institute, or its affiliates be liable for any consequential, incidental, special, or indirect damages resulting from use of this information."
"Population-weighted percentage of the census tract area with tree canopy",2011,6001400200,"Alameda",6001,NA,NA,19.7083709,4.0659752,20.6307019,92.46759913,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001400300,"Alameda",6001,NA,NA,5.8385298,1.8339643,31.411405,57.3206724,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001400400,"Alameda",6001,NA,NA,11.3785161,2.6807596,23.559835,82.99756191,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001400500,"Alameda",6001,NA,NA,5.6254528,2.3810522,42.3264099,55.357372,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001400600,"Alameda",6001,NA,NA,4.8491221,2.737096,56.4451862,46.81124086,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001400700,"Alameda",6001,NA,NA,4.7019848,1.4247821,30.3017164,44.95059669,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001400800,"Alameda",6001,NA,NA,4.363506,1.6366934,37.5086787,39.36866419,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001400900,"Alameda",6001,NA,NA,4.5704734,2.0799381,45.5081555,42.83331195,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001401000,"Alameda",6001,NA,NA,4.5727842,1.3167223,28.7947623,42.89747209,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001401100,"Alameda",6001,NA,NA,5.0087907,1.8460001,36.855206,48.77454125,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001401200,"Alameda",6001,NA,NA,4.9039758,1.9296227,39.3481294,47.5426665,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001401300,"Alameda",6001,NA,NA,4.4292055,2.6427391,59.6662096,40.5363788,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001401400,"Alameda",6001,NA,NA,3.7679966,1.5500486,41.1372072,28.30745541,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001401500,"Alameda",6001,NA,NA,3.6988456,1.809741,48.9271824,26.80610805,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001401600,"Alameda",6001,NA,NA,3.2791576,2.2075832,67.3216547,18.2599769,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001401700,"Alameda",6001,NA,NA,3.2345639,1.6079773,49.7123378,17.36173489,"HCI/National Land Cover Database","Wed06Dec17",""
"Population-weighted percentage of the census tract area with tree canopy",2011,6001401800,"Alameda",6001,NA,NA,4.2738544,2.0768896,48.5952366,37.43102785,"HCI/National Land Cover Database","Wed06Dec17",""
