Incidence Rate Report for California by County

"Breast (All Stages^), 2014-2018"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7)",06000,***,121.8 ,121.1, 122.5,N/A , 37 , 43,27077,stable,0.0 ,-0.3, 0.2
"US (SEER+NPCR)(1)",00000,***,126.8 ,126.6, 127,N/A , N/A , N/A,249261,rising,0.3 ,0.2, 0.5
"Marin County(7)",06041,***,151.1 ,143, 159.5,1 , 1 , 8,298,falling,-0.5 ,-0.9, -0.1
"Inyo County(7)",06027,***,147.2 ,115.1, 185.9,2 , 1 , 51,18,stable,1.1 ,-1.3, 3.4
"San Luis Obispo County(7)",06079,***,143.5 ,135.2, 152.2,3 , 1 , 15,263,stable,0.7 ,-0.1, 1.5
"Placer County(7)",06061,***,141.4 ,134.8, 148.2,4 , 1 , 14,373,stable,-0.2 ,-0.7, 0.2
"Nevada County(7)",06057,***,140.7 ,127.9, 154.6,5 , 1 , 27,114,stable,-0.5 ,-1.7, 0.7
"Plumas County(7)",06063,***,138.9 ,108.3, 176.2,6 , 1 , 53,21,stable,-0.2 ,-2.4, 2.1
"Shasta County(7)",06089,***,138.8 ,129.2, 149,7 , 1 , 24,179,stable,-5.4 ,-13.7, 3.7
"Santa Barbara County(7)",06083,***,138.7 ,131.9, 145.7,8 , 1 , 19,341,stable,0.2 ,-0.4, 0.9
"San Mateo County(7)",06081,***,137.8 ,133, 142.7,9 , 2 , 16,659,stable,-0.1 ,-0.4, 0.1
"Santa Cruz County(7)",06087,***,135 ,126.8, 143.6,10 , 2 , 26,224,stable,0.3 ,-0.6, 1.3
"Butte County(7)",06007,***,133.7 ,124.7, 143.1,11 , 2 , 28,192,stable,-0.2 ,-1.1, 0.7
"Contra Costa County(7)",06013,***,131.8 ,128, 135.7,12 , 6 , 23,935,falling,-0.6 ,-0.8, -0.4
"Ventura County(7)",06111,***,129.2 ,124.7, 133.8,13 , 8 , 27,659,stable,-0.1 ,-0.6, 0.3
"San Diego County(7)",06073,***,129.1 ,126.7, 131.5,14 , 10 , 24,2362,falling,-0.3 ,-0.6, -0.1
"Sonoma County(7)",06097,***,128.8 ,123.3, 134.6,15 , 7 , 30,452,falling,-0.9 ,-1.4, -0.3
"El Dorado County(7)",06017,***,128.4 ,119.4, 137.9,16 , 4 , 36,173,stable,-1.0 ,-2.3, 0.4
"Orange County(7)",06059,***,128.2 ,125.9, 130.6,17 , 11 , 25,2387,stable,0.2 ,-0.2, 0.6
"Amador County(7)",06005,***,128.2 ,108.2, 151.4,18 , 1 , 50,39,stable,-1.0 ,-2.6, 0.7
"Napa County(7)",06055,***,128 ,117.4, 139.2,19 , 3 , 40,118,stable,-0.8 ,-1.9, 0.2
"Lassen County(7)",06035,***,127.4 ,101.7, 157.9,20 , 1 , 54,19,rising,3.2 ,1.0, 5.5
"Sacramento County(7)",06067,***,127.3 ,123.9, 130.8,21 , 11 , 28,1113,stable,-0.5 ,-1.0, 0.0
"Solano County(7)",06095,***,126.1 ,119.9, 132.5,22 , 9 , 34,340,stable,-0.4 ,-0.9, 0.1
"Yolo County(7)",06113,***,124.8 ,115.4, 134.9,23 , 5 , 42,135,stable,-0.7 ,-1.5, 0.0
"Lake County(7)",06033,***,123 ,107.8, 140,24 , 2 , 50,57,rising,1.9 ,0.2, 3.7
"San Francisco County(7)",06075,***,122.4 ,118, 127,25 , 15 , 36,605,stable,-0.3 ,-0.5, 0.0
"Santa Clara County(7)",06085,***,122.3 ,119.3, 125.4,26 , 18 , 33,1300,falling,-0.5 ,-0.8, -0.1
"Alameda County(7)",06001,***,120.7 ,117.5, 123.9,27 , 20 , 36,1151,falling,-0.4 ,-0.6, -0.2
"Monterey County(7)",06053,***,117.8 ,111.3, 124.5,28 , 18 , 44,261,stable,-0.1 ,-0.8, 0.6
"Stanislaus County(7)",06099,***,117.7 ,112, 123.5,29 , 20 , 44,340,stable,-0.3 ,-0.8, 0.3
"Glenn County(7)",06021,***,117.2 ,94.1, 144.4,30 , 1 , 55,19,stable,-0.4 ,-2.4, 1.6
"Los Angeles County(7)",06037,***,117.2 ,115.9, 118.4,31 , 26 , 38,6671,stable,0.0 ,-0.3, 0.2
"Tehama County(7)",06103,***,116.6 ,102.1, 132.7,32 , 6 , 52,52,stable,-0.7 ,-1.9, 0.5
"San Joaquin County(7)",06077,***,116.2 ,111.4, 121.2,33 , 23 , 44,450,stable,-0.3 ,-0.8, 0.3
"Kern County(7)",06029,***,115.8 ,111.1, 120.6,34 , 23 , 44,473,stable,-0.2 ,-0.8, 0.4
"Tuolumne County(7)",06109,***,115.7 ,99.4, 134.1,35 , 3 , 53,49,falling,-2.4 ,-3.7, -1.0
"Mariposa County(7)",06043,***,115 ,88.4, 148.4,36 , 1 , 56,16,stable,-1.1 ,-3.3, 1.1
"San Benito County(7)",06069,***,114.8 ,98.4, 133.3,37 , 4 , 53,36,stable,-0.1 ,-2.2, 2.0
"Yuba County(7)",06115,***,113.1 ,98, 129.9,38 , 6 , 54,43,falling,-1.7 ,-3.0, -0.3
"Riverside County(7)",06065,***,112.6 ,110, 115.2,39 , 30 , 46,1484,falling,-0.6 ,-0.9, -0.3
"Calaveras County(7)",06009,***,111.4 ,94.8, 130.5,40 , 6 , 54,43,falling,-1.5 ,-3.0, -0.1
"San Bernardino County(7)",06071,***,111.1 ,108.3, 114,41 , 32 , 47,1201,stable,-0.4 ,-0.8, 0.1
"Humboldt County(7)",06023,***,109.7 ,99.4, 120.8,42 , 20 , 52,95,falling,-1.6 ,-2.4, -0.7
"Fresno County(7)",06019,***,108.9 ,104.7, 113.2,43 , 33 , 50,526,falling,-0.7 ,-1.3, -0.1
"Trinity County(7)",06105,***,108.2 ,77.7, 148.2,44 , 1 , 56,11,stable,-0.1 ,-3.1, 3.0
"Mendocino County(7)",06045,***,107.2 ,95.2, 120.3,45 , 20 , 54,68,stable,-1.3 ,-2.6, 0.1
"Imperial County(7)",06025,***,106.9 ,97.3, 117.3,46 , 23 , 53,95,stable,0.1 ,-1.3, 1.5
"Sutter County(7)",06101,***,105.2 ,93.3, 118.2,47 , 23 , 54,59,stable,-0.8 ,-2.6, 1.0
"Kings County(7)",06031,***,103.6 ,92.4, 115.7,48 , 25 , 54,64,falling,-1.5 ,-2.4, -0.5
